dataset,variant,val_selected,xgb_c2st,xgb_c2st_std,indist,indist_std,tv2,tv2_std,tv3,tv3_std,mle_auc,mle_auc_std,mle_f1,mle_f1_std,trend,trend_std,lr_c2st,lr_c2st_std
shoppers,TabbyFlow,False,0.581008610862803,0.0,0.837982778274394,0.0,0.037130685382200095,0.0,0.06101649094349824,0.0,0.9156763804819098,0.0,0.6158536585365854,0.0,0.9832467501315703,0.0,0.9868696504901858,0.0
shoppers,FF (lower),False,0.9771179470920771,0.0007554969514914321,0.045764105815845856,0.0015109939029828642,0.06662559489767693,0.0005553429278252327,0.13237721906821664,0.0007089654360815878,0.44920123392662165,0.03493491473023749,0.02833987250064095,0.015048123606748212,0.7700108149828964,0.0006184686595623071,1.0,0.0
shoppers,Oracle (upper),False,0.5109182091913665,0.004767943693497334,0.978163581617267,0.009535887386994669,0.033772302588993906,0.0,0.05818329278183293,0.0,0.9213990155442245,0.0029454059529898037,0.6194764157860255,0.004593741203659457,1.0,0.0,1.0,0.0
shoppers,SDV-GaussCop,False,0.9997232982237807,6.234910191303657e-05,0.0005534035524385287,0.00012469820382607314,0.113900536033704,0.0,0.18668423898350905,0.0,0.8716294050509013,0.0051472418534702115,0.4017881796068634,0.057238015421078224,0.8802355162713082,0.0,0.13343697509624727,0.0001471770788886432
shoppers,gaussian-all,False,0.8723639606241532,0.005709230233471411,0.2552720787516934,0.011418460466942821,0.053131005789116885,0.00018422345749839162,0.0973492835901595,0.00034831846308094536,0.8640048198050171,0.012912635517011106,0.4941160145476693,0.007401212794219267,0.8971949152399378,0.0010439775391908057,0.9910508974134378,0.002446818575442272
shoppers,gaussian-num,False,0.8397308011831961,0.005221880458992937,0.3205383976336078,0.010443760917985875,0.04955587714043894,0.0002594362809384921,0.08821092787840558,0.00036695972228536724,0.8716753416089809,0.008141889409834343,0.4520615451713556,0.016263886644839996,0.94059662986507,0.00042445306831648917,0.990578870526477,0.003824818186730529
shoppers,empirical-all,True,0.5736060709509837,0.003950234677697042,0.8527878580980327,0.007900469355394084,0.038074432961233313,0.00020531811134338575,0.06394656213391008,0.0002800518134347378,0.9114537507199673,0.0049535114698061955,0.6102042457154148,0.019336521121059977,0.9763818372816839,0.0006262285177034021,0.9905986929434446,0.003966624482055376
shoppers,empirical-num,False,0.6616421833831155,0.01051710535706981,0.6767156332337688,0.02103421071413962,0.04340708778580169,0.00012046048523039423,0.07408924333904059,0.00039974083581650595,0.8781713892981954,0.0058404769645811596,0.5692509782362344,0.018215117827695065,0.9793232044591916,0.0008995438113850845,0.9819731805540645,0.004493404444722824
shoppers,vine-tll-all,False,0.7129444905979497,0.011002643667242596,0.5741110188041002,0.02200528733448519,0.043974671362041556,0.0001353611262753935,0.07687828542248655,0.00041202513704741053,0.894841501206718,0.012559005137222407,0.5337651012637065,0.0046704885889389015,0.9630844456223042,0.001853074956276707,0.9860961377153364,0.005041697709886782
shoppers,vine-tll-t2-all,False,0.7413011605030358,0.012729372537392262,0.5173976789939282,0.025458745074784524,0.04686108220184732,0.00016256674187337618,0.08284536361178697,0.00031815121568192146,0.891423644606518,0.00990417566323796,0.5077649396630348,0.025751456721743483,0.9613385444541275,0.001636789493556337,0.985762827144082,0.008289331075475765
shoppers,vine-par-all,False,0.790365296773618,0.0052557326608282506,0.4192694064527642,0.010511465321656501,0.050545565417099314,0.00017010665317618027,0.0905750803520471,0.00027444776427424023,0.8883511955872635,0.0071180561241892286,0.44119614397535134,0.02636293226595669,0.9208668017078271,0.0005733709701840589,0.9835439264150954,0.008024151158332667
