dataset,variant,mean_gap_mean,mean_gap_std,corr_gap_mean,corr_gap_std
bank,FF,0.17239077334588013,0.0014439817787545589,0.05841311885602583,0.0003480062069166572
bank,TabbyFlow,0.05348904693116119,0.0011404486512372359,0.015050380037338572,0.0014904358449607808
bank,Oracle,0.051123335322007364,0.0,0.013684002942715044,4.5896469109001614e-18
