dataset,variant,xgb_c2st_mean,xgb_c2st_std,marg_c2st_mean,marg_c2st_std,dep_c2st_mean,dep_c2st_std
adult,FF,0.990928016441605,0.00031644121572735985,0.5071537953189825,0.004401042945738585,0.48377422112262236,0.0044474725590956735
adult,Oracle,0.5031564559046512,0.002728425331647323,0.5033159064149618,0.0017570377460369793,-0.00015945051031072133,0.0038348316117143367
adult,TabbyFlow,0.6070048838733413,0.0073596638392984725,0.5571287678698233,0.004368966542867645,0.049876116003518024,0.006911573519626763
shoppers,FF,0.9760453440102508,0.0016923088152105896,0.5131277013778301,0.009774372034710314,0.4629176426324205,0.010300297148381302
shoppers,Oracle,0.5079091541147769,0.006251275360828188,0.5169793374812289,0.011526381018390063,-0.009070183366452,0.013571691357633954
shoppers,TabbyFlow,0.5706638671989339,0.01046555291571223,0.5540274250487901,0.017901917020763398,0.016636442150143822,0.016368749778500752
