dataset,variant,metric,mean,std,ci95_lo,ci95_hi,t_stat,p_value,n
adult,TabDiff,dep,0.053970115194927025,0.004176436215833242,0.04878521605419678,0.05915501433565727,28.89565172139809,8.538107457982757e-06,5
adult,TabDiff,dep_cross,0.02893114459263608,0.00492498883480474,0.022816943618878233,0.03504534556639393,13.135462464165075,0.0001939871691826149,5
default,TabDiff,dep,0.05496757777777776,0.010789578561933556,0.041572694263808045,0.06836246129174749,11.39166277571378,0.0003386997005635609,5
default,TabDiff,dep_cross,0.015551711111111111,0.003666520950050587,0.01099985389578574,0.020103568326436484,9.484381429868398,0.0006895965934322347,5
