dataset,variant,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,mle_auc_mean,mle_auc_std
adult,RealTrain,,,,,,,,,0.7093754172784488,0.0027402216004638207,0.6541341653666146,0.0032391911601450563,0.9268045317711382,0.0010762085368081716
adult,SMOTE,0.6708165176946712,0.0035477848538371113,0.8498070469514765,0.0020723344337418436,-0.1789905292568053,0.003317301581793238,-0.08200330137257095,0.00406963540094597,0.6981660871842935,0.014004255417581867,0.685439417576703,0.02168742370119589,0.9194343963545434,0.0023270682981794146
adult,SMOTE_priormatch,0.6211635679700124,0.0023904883493724824,0.6480269639947471,0.0052800720126319565,-0.02686339602473471,0.0039467969984847764,-0.006613991564319255,0.0028302795300203785,,,,,,
default,RealTrain,,,,,,,,,0.4774817343417402,0.0032132845291599575,0.3814092953523238,0.005258074337856131,0.7691917864471108,0.002241682202174828
default,SMOTE,0.6468421111111111,0.009275362402407164,0.6918102111111111,0.009470559005771068,-0.044968100000000025,0.006115800750520126,-0.02840840000000002,0.007918519814821216,0.4811402317975414,0.015166013561804801,0.4455772113943029,0.017368024536821076,0.7364132442994105,0.004200463196137044
default,SMOTE_priormatch,0.5261332111111111,0.007516817386946677,0.5105034888888889,0.0060151700489852996,0.015629722222222253,0.004598853504635571,0.004673733333333319,0.006838816723759506,,,,,,
