xgb_c2st,indist,marg_c2st,dep_c2st,tv2,tv3,mle_auc,mle_f1,mle_recall,dep_cross,dataset,variant,capacity,seed,step,rr_c2st,n_test
0.990569334752591,0.018861330494817974,0.5032424147736048,0.48732691997898625,0.07200531329641283,0.17155585334156662,0.4512870514820593,0.09879160483358067,0.06058242329693188,0.055449851785160154,adult,FF,1x,0,8000,0.5011584811861225,16281
0.6157941703014387,0.7684116593971226,0.5587015697279643,0.05709260057347443,0.017560139843294603,0.03406632713696639,0.910391576499409,0.6547172432958177,0.6125845033801353,0.035818665176228004,adult,TabbyFlow,1x,0,8000,0.5011584811861225,16281
0.5025596353423263,0.9948807293153474,0.5042383744932362,-0.0016787391509098804,0.013621460890087913,0.028062554806701005,0.9269146101589942,0.7011974380395433,0.6547061882475299,0.0019226379912660185,adult,Oracle,1x,0,8000,0.5011584811861225,16281
0.9906984096232255,0.018603180753548942,0.5122014421640098,0.47849696745921577,0.07354177028816027,0.17254266707880292,0.506448446116373,0.10284552845528455,0.0657826313052522,0.05485715389246282,adult,FF,1x,1,8000,0.5046023142306926,16281
0.6044519584323685,0.7910960831352629,0.5619976229685907,0.04245433546377786,0.019049019901518565,0.03517854093007359,0.9088279856083669,0.6618202152942821,0.6154446177847114,0.03354825050036314,adult,TabbyFlow,1x,1,8000,0.5046023142306926,16281
0.5021399496114551,0.9957201007770897,0.5010021486284195,0.0011378009830356195,0.013621460890087913,0.028062554806701005,0.9268297487026139,0.7143059690911668,0.6549661986479459,-0.0011097500038866892,adult,Oracle,1x,1,8000,0.5046023142306926,16281
0.9910124934432181,0.017975013113563865,0.5032645031984473,0.4877479902447708,0.07283743082474652,0.17207912073055148,0.4958475753585833,0.09865650691798676,0.06396255850234009,0.05169295402373397,adult,FF,1x,2,8000,0.5026152738622026,16281
0.5993912135852557,0.8012175728294886,0.5500782713048676,0.04931294228038807,0.018971614531442207,0.035615443358643355,0.9118794381851671,0.661799803453601,0.6128445137805513,0.03150575969730607,adult,TabbyFlow,1x,2,8000,0.5026152738622026,16281
0.5079587857984942,0.9840824284030116,0.5020078038650186,0.005950981933475541,0.013621460890087913,0.028062554806701005,0.9269359797311072,0.7092597804672108,0.6552262090483619,0.005424922800200682,adult,Oracle,1x,2,8000,0.5026152738622026,16281
0.9996908888888889,0.0006182222222221867,0.5028395,0.4968513888888889,0.17704907407407408,0.3406896296296296,0.4703130110898258,0.06741573033707865,0.04047976011994003,0.0003862222222221767,default,FF,1x,0,8000,0.5164542222222221,3000
0.6152687777777778,0.7694624444444444,0.5279096111111111,0.08735916666666665,0.029767777777777775,0.05359944444444444,0.7405133695475451,0.4538878842676311,0.37631184407796103,0.01574533333333339,default,TabbyFlow,1x,0,8000,0.5164542222222221,3000
0.5009262777777778,0.9981474444444445,0.5176854444444444,-0.01675916666666666,0.02530814814814815,0.048011296296296295,0.7715720472382754,0.4835988753514527,0.3868065967016492,-0.0021148888888889994,default,Oracle,1x,0,8000,0.5164542222222221,3000
0.9998252222222223,0.0003495555555554919,0.5175170555555555,0.48230816666666676,0.1761977777777778,0.34030648148148146,0.4767674028395147,0.04987531172069826,0.029985007496251874,0.0004478888888889143,default,FF,1x,1,8000,0.5163404444444445,3000
0.6014547222222223,0.7970905555555554,0.5373518888888889,0.06410283333333344,0.030234814814814815,0.053728703703703695,0.757984166939248,0.46126447016918964,0.38830584707646176,0.004505666666666741,default,TabbyFlow,1x,1,8000,0.5163404444444445,3000
0.5051158333333334,0.9897683333333331,0.510881,-0.005765166666666599,0.02530814814814815,0.048011296296296295,0.7699277236649571,0.48015122873345933,0.3808095952023988,0.0006721666666666959,default,Oracle,1x,1,8000,0.5163404444444445,3000
