dataset,seed,full_base,full_fix,full_delta,dep_base,dep_fix,dep_delta,dep_cross_base,dep_cross_fix,dep_cross_delta,mle_f1_base,mle_f1_fix,mle_f1_delta,mle_recall_base,mle_recall_fix,mle_recall_delta
adult,0,0.6157941703014387,0.6064824864010661,-0.009311683900372625,0.05709260057347443,0.05659750107443873,-0.0004950994990357005,0.035818665176228004,0.03412301923182004,-0.0016956459444079641,0.6547172432958177,0.6793206793206793,0.02460343602486159,0.6125845033801353,0.6188247529901196,0.006240249609984372
adult,1,0.6044519584323685,0.6066728674967908,0.002220909064422294,0.04245433546377786,0.054726454928421986,0.012272119464644127,0.03354825050036314,0.03603641064250718,0.002488160142144036,0.6618202152942821,0.6732978425329224,0.011477627238640209,0.6154446177847114,0.624804992199688,0.009360374414976613
adult,2,0.5993912135852557,0.6062649672892686,0.006873753704012886,0.04931294228038807,0.05136665083430236,0.0020537085539142907,0.03150575969730607,0.033529132978093346,0.0020233732807872773,0.661799803453601,0.6749365661122075,0.013136762658606527,0.6128445137805513,0.6224648985959438,0.009620384815392513
adult,3,0.6016118793186102,0.6111789910476085,0.009567111728998379,0.043806418689522175,0.052272861001926185,0.00846644231240401,0.031120668476393498,0.03256591166167011,0.0014452431852766123,0.6713028668748225,0.6655202063628547,-0.005782660511967852,0.6149245969838794,0.6037441497659907,-0.01118044721788869
adult,4,0.6137751977290338,0.614538208506363,0.0007630107773292094,0.05671428301042758,0.05399659753751762,-0.0027176854729099587,0.03717518117723961,0.042409890761289426,0.005234709584049813,0.6654626285079188,0.6644153651329675,-0.0010472633749513127,0.6227249089963599,0.6138845553822153,-0.008840353614144592
