xgb_c2st,indist,marg_c2st,dep_c2st,tv2,tv3,mle_auc,mle_f1,mle_recall,trend,lr_c2st,dataset,variant,seed,rr_c2st,n_test,syn_path
0.5941980097824253,0.8116039804351494,0.5801990217574633,0.013998988024962022,0.2610000146179597,0.5041365842482237,0.3768595041322314,0.15789473684210525,0.13636363636363635,0.7190407277237957,0.9809325771896661,diabetes,FF,0,0.6488919667590027,77,baselines/diabetes/samples.csv
0.503794906392309,0.9924101872153821,0.5279136447967617,-0.024118738404452778,0.24450938995077928,0.4647696731633056,0.912396694214876,0.782608695652174,0.8181818181818182,0.8205499276410999,0.9785431959345003,diabetes,TabbyFlow,0,0.6488919667590027,77,baselines/diabetes/samples.csv
0.5867768595041323,0.8264462809917354,0.5172879068982965,0.06948895260583576,0.23165654895032606,0.4573787283628095,0.9289256198347108,0.7441860465116279,0.7272727272727273,1.0,1.0,diabetes,Oracle,0,0.6488919667590027,77,baselines/diabetes/samples.csv
0.7363805026142689,0.5272389947714622,0.5211671445437679,0.21521335807050102,0.2691584022987786,0.5047189906090049,0.6925619834710743,0.3076923076923077,0.2727272727272727,0.7049824271242507,0.994606175173283,diabetes,FF,1,0.5623268698060941,77,baselines/diabetes/samples.csv
0.5240344071512902,0.9519311856974195,0.6098836228706359,-0.08584921571934567,0.24450938995077928,0.4647696731633056,0.8925619834710743,0.723404255319149,0.7727272727272727,0.8205499276410999,1.0,diabetes,TabbyFlow,1,0.5623268698060941,77,baselines/diabetes/samples.csv
0.53516613256873,0.92966773486254,0.5628267836060044,-0.02766065103727433,0.23165654895032606,0.4573787283628095,0.912396694214876,0.6829268292682927,0.6363636363636364,1.0,1.0,diabetes,Oracle,1,0.5623268698060941,77,baselines/diabetes/samples.csv
0.6237139483892731,0.7525721032214538,0.5763197841119919,0.04739416427728116,0.2647698819913002,0.5045690819414202,0.5413223140495869,0.3888888888888889,0.3181818181818182,0.7308248914616498,0.9960725265073092,diabetes,FF,2,0.5006925207756232,77,baselines/diabetes/samples.csv
0.512396694214876,0.975206611570248,0.5528756957328387,-0.04047900151796269,0.24450938995077928,0.4647696731633056,0.8958677685950414,0.7391304347826086,0.7727272727272727,0.8205499276410999,1.0,diabetes,TabbyFlow,2,0.5006925207756232,77,baselines/diabetes/samples.csv
0.573958509023444,0.8520829819531119,0.5086861190757295,0.06527238994771456,0.23165654895032606,0.4573787283628095,0.9438016528925619,0.5641025641025641,0.5,1.0,1.0,diabetes,Oracle,2,0.5006925207756232,77,baselines/diabetes/samples.csv
0.650699949401248,0.698600101197504,0.5400573452521504,0.11064260414909755,0.259535608305507,0.49570343859159244,0.6611570247933884,0.42857142857142855,0.4090909090909091,0.7126317965681207,0.9528326745718051,diabetes,FF,3,0.574792243767313,77,baselines/diabetes/samples.csv
0.5363467701130039,0.9273064597739922,0.5051442064429077,0.031202563670096217,0.24450938995077928,0.4647696731633056,0.9371900826446281,0.8260869565217391,0.8636363636363636,0.8205499276410999,1.0,diabetes,TabbyFlow,3,0.574792243767313,77,baselines/diabetes/samples.csv
0.5727778714791703,0.8544442570416595,0.6014504975543936,-0.028672626075223362,0.23165654895032606,0.4573787283628095,0.9462809917355371,0.75,0.6818181818181818,1.0,1.0,diabetes,Oracle,3,0.574792243767313,77,baselines/diabetes/samples.csv
