dataset,trend_mean,trend_std,lr_c2st_mean,lr_c2st_std,xgb_c2st_mean,xgb_c2st_std
adult,0.7634175020611185,0.0011452671078283207,0.9977505098984565,0.0016470483655660665,0.9909836589003049,0.0004727836847812475
shoppers,0.761495436679212,0.00347267545798386,0.9854120280201111,0.012247363575384215,0.9779890533970843,0.004230762041586818
bank,0.7911805044567177,0.007444913928182943,0.9864134282251698,0.01607475733774929,0.9561475315236084,0.0009908974214081425
magic,0.6876668899632756,0.005155959853621735,0.9780269544219802,0.021774043337640468,0.9947281128614408,0.00046382651129686235
