metric,n,mean_delta,std_delta,ci_lo,ci_hi,t,p,n_down,n_up
dep_cross,5,0.0018991680495699548,0.0024807716232323764,-0.0011806229475683349,0.004978959046708245,1.7118338583705734,0.1620922667299105,1,4
mle_f1,5,0.008477580407037832,0.012091614861045439,-0.006533735524329147,0.023488896338404813,1.567734855327501,0.1920146116952458,2,3
mle_recall,5,0.0010400416016640435,0.01020851296380683,-0.011633469343747465,0.013713552547075552,0.227810233380095,0.8309648136484344,2,3
full,5,0.0020226202748780285,0.007255088430130319,-0.0069843176557661925,0.01102955820552225,0.6233854309085717,0.5668158164818728,1,4
dep,5,0.003915897071803354,0.006274212477813526,-0.003873317752463761,0.011705111896070469,1.395587426534858,0.23532499822449202,2,3
