dataset,metric,n,mean_delta,std_delta,n_down,n_up
adult,dep_cross,5,0.0018991680495699548,0.0024807716232323764,1,4
adult,dep_c2st,5,0.003915897071803354,0.006274212477813526,2,3
adult,mle_f1,5,0.008477580407037832,0.012091614861045439,2,3
adult,mle_recall,5,0.0010400416016640435,0.01020851296380683,2,3
adult,xgb_c2st,5,0.0020226202748780285,0.007255088430130319,1,4
