dataset,variant,xgb_c2st_mean,xgb_c2st_std,marg_c2st_mean,marg_c2st_std,dep_c2st_mean,dep_c2st_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,tv2_mean,tv2_std,tv3_mean,tv3_std,rr_c2st_mean,rr_c2st_std
adult,FF,0.9907600792730116,0.0002279249120832179,0.5062361200453539,0.005166132301743849,0.48452395922765756,0.005223772331833681,0.053999986567118984,0.0020198074326975074,0.10009788006895066,0.0023804918825511417,0.06344253770150805,0.0026388173596183597,0.07279483813643987,0.0007691135317333158,0.17205921371697366,0.0004937079651897063,0.502792023093006,0.001728706663277596
adult,Oracle,0.5042194569174252,0.003245145511186157,0.5024161089955581,0.001656298364349158,0.0018033479218670934,0.003858157008497687,0.0020792702625266704,0.0032701509774657163,0.7082543958659736,0.006611845070035145,0.6549661986479459,0.00026001040041601087,0.013621460890087913,0.0,0.028062554806701005,0.0,0.502792023093006,0.001728706663277596
adult,TabbyFlow,0.606545780773021,0.008399542621708847,0.5569258213338075,0.006154892183490046,0.049619959439213455,0.00732396040454206,0.0336242251246324,0.0021574562626339266,0.659445754014567,0.004095023122499385,0.6136245449817993,0.0015815815211383476,0.018526924758751794,0.0008381543428246581,0.034953437141894445,0.000798713999911816,0.502792023093006,0.001728706663277596
default,FF,0.9997379629629629,7.564719388309478e-05,0.5082787407407406,0.008042535802645261,0.49145922222222227,0.007967010883040965,0.000509222222222272,0.00016258775408318127,0.07942221727129149,0.03703957196778493,0.0544727636181909,0.03373590970862103,0.17660561728395063,0.0004267643251362135,0.3405257407407407,0.0001974842634073989,0.5152722222222222,0.0019495797964473975
default,Oracle,0.5050467037037037,0.004086299695147153,0.511112,0.006461042268669237,-0.006065296296296263,0.010547008767385214,0.002074907407407419,0.005039769096934163,0.4724272341993077,0.01645464532563899,0.37781109445277367,0.010811248202290846,0.02530814814814815,0.0,0.048011296296296295,0.0,0.5152722222222222,0.0019495797964473975
default,TabbyFlow,0.6105790555555556,0.007902933917418633,0.5357221296296296,0.007138559830361125,0.07485692592592597,0.01172630702688113,0.00923174074074081,0.005829146038227153,0.45599418103868866,0.004594740539870572,0.3808095952023988,0.00653508087487357,0.029723333333333334,0.0005350898287470377,0.05348685185185185,0.0003136879614747909,0.5152722222222222,0.0019495797964473975
magic,FF,0.9948743238157999,0.00023234634865635338,0.5114774862035757,0.001975615270120445,0.48339683761222435,0.002113928224829088,0.0005872210815039599,0.0006413037744856867,0.22437317630563314,0.04533792417719891,0.1711045364891519,0.036002809341759,0.1991247063562501,0.0008705313816537001,0.35721152117554755,0.0008829237341007881,0.5129641976660059,0.002940552614653371
magic,Oracle,0.5092770887397663,0.007794016457180356,0.5173429706512929,0.0061683229452947725,-0.00806588191152661,0.013961955195319767,0.0011215526446049322,0.008962010265504514,0.8371508386357341,0.00875317132002132,0.8007889546351085,0.0034162737821871523,0.03770399961662212,0.0,0.06290351442388205,0.0,0.5129641976660059,0.002940552614653371
magic,TabbyFlow,0.5554601885667972,0.0009276073799049497,0.5211340618449855,0.012376000357140338,0.034326126721811824,0.012112739466704535,-0.0006939215384915709,0.005585457250614095,0.827122149316036,0.004555754265700788,0.782051282051282,0.0034162737821871523,0.040082222772388744,0.0010646273947331347,0.06699820947919348,0.0013549703651774996,0.5129641976660059,0.002940552614653371
