dataset,trend_ff_mean,trend_ff_std,trend_ff_min,trend_ff_max,trend_ff_count,lr_c2st_ff_mean,lr_c2st_ff_std,lr_c2st_ff_min,lr_c2st_ff_max,lr_c2st_ff_count
adult,0.7634175020611185,0.0011452671078283207,0.7619812745774819,0.7645535530408638,5,0.9977505098984565,0.0016470483655660665,0.9963849046970862,1.0,5
bank,0.7911805044567177,0.007444913928182943,0.7827258068075871,0.8028674303980429,5,0.9864134282251698,0.01607475733774929,0.9607008545613038,1.0,5
magic,0.6876668899632756,0.005155959853621735,0.6834842354669818,0.6964904274326594,5,0.9780269544219802,0.021774043337640468,0.9461496226937147,1.0,5
shoppers,0.761495436679212,0.00347267545798386,0.7571533541762905,0.7655157019007496,5,0.9854120280201111,0.012247363575384215,0.9686320605270883,1.0,5
