width,dim_t,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,final_loss_mean,final_loss_std,n_params_mean,n_params_std
0.125x,128,0.6957397008116629,0.012160238683462244,0.5962555385310577,0.008535623414091243,0.09948416228060528,0.005573369612490739,0.0712848462491521,0.0006891378691906967,0.665510314244476,0.0026461422353473403,0.6065002600104005,0.009060532397626345,,,372636.0,0.0
0.25x,256,0.6397979230173011,0.006585683194535457,0.5662329122502407,0.0030975742366285133,0.07356501076706023,0.007008816102398586,0.04878252657785476,0.0057665479373928755,0.6705085309897795,0.005139239855382564,0.6170046801872074,0.009302414882994414,,,1388444.0,0.0
0.5x,512,0.6171696631076838,0.008123145638345382,0.5573971469473791,0.0026638255038768524,0.059772516160304746,0.007120892503295989,0.04054212034188083,0.00656526178644648,0.6622046712390475,0.025273511116520493,0.611752470098804,0.02457160190389685,,,5386140.0,0.0
