dataset,Shape_mean,Shape_std,Trend_mean,Trend_std,MLE_AUC_mean,MLE_AUC_std,F1_mean,F1_std,recall_mean,recall_std
adult,0.9931963596531638,0.000924803589935233,0.985499878334865,0.0014206901367295353,0.9128819868516495,0.0010688302976105235,0.6711798144086101,0.004942497435643499,0.6141445657826312,0.010447436610953943
default,0.9873265432098766,0.0013131131942295696,0.9863094965932137,0.001030237798267278,0.7620550204966098,0.00459727687617429,0.43970232087227296,0.023474791836228873,0.3502248875562219,0.021112298771292108
