dataset,variant,seed,trend,lr_c2st,xgb_c2st
magic,FF,0,0.7004120019933534,0.9953510666175734,0.9946125944133188
magic,TabbyFlow,0,0.9729730551415566,0.9786354044139486,0.5544343714790232
magic,FF,1,0.6920034217106329,0.995764428050317,0.9950562582305856
magic,TabbyFlow,1,0.9780431559378263,0.9783145603185607,0.5562399864661804
magic,FF,2,0.6914368540083516,1.0,0.9949541188034954
magic,TabbyFlow,2,0.9784595732304676,1.0,0.5557062077551882
