dataset,capacity,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std
adult,1x,0.606545780773021,0.008399542621708847,0.5569258213338075,0.006154892183490046,0.049619959439213455,0.00732396040454206,0.0336242251246324,0.0021574562626339266,0.659445754014567,0.004095023122499385,0.6136245449817993,0.0015815815211383476
adult,4x,0.6074472953426736,0.005518342728964187,0.5529962018988065,0.004758297236523574,0.05445109344386719,0.002739249098945413,0.03441715744939714,0.006020941958649174,0.6657743317413063,0.00898658464955921,0.6163113191194315,0.007608729503792181
default,1x,0.6105790555555556,0.007902933917418633,0.5357221296296296,0.007138559830361125,0.07485692592592597,0.01172630702688113,0.00923174074074081,0.005829146038227153,0.45599418103868866,0.004594740539870572,0.3808095952023988,0.00653508087487357
default,4x,0.6043220925925926,0.005454555066761891,0.5454806666666667,0.018539587286731742,0.05884142592592597,0.01981724073182871,0.012407333333333362,0.004008335607530022,0.4531122517146396,0.012455969092515414,0.37381309345327335,0.014170361697908853
