metric,n,mean_delta,std_delta,n_down,n_up
dep_cross,5,-0.005968266400580169,0.006462511026903303,4,1
mle_f1,5,0.0016359398833462157,0.017977373545288146,3,2
mle_recall,5,-0.003907637655417395,0.033897024392085966,3,2
full,5,-0.007333986226069444,0.007437551732760633,5,0
dep,5,-0.0016573160142336451,0.014062574609395357,2,3
