dataset,variant,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std
adult,FF,0.990928016441605,0.00031644121572735985,0.5071537953189825,0.004401042945738585,0.48377422112262236,0.0044474725590956735,0.05366817717916676,0.002068929460556614,0.10184725079733561,0.004266474278101634,0.06453458138325532,0.0031918858116326406
adult,TabDiff,0.591427372913927,0.0030006548111176055,0.537457257719,0.004223807206880761,0.053970115194927025,0.004176436215833241,0.02893114459263608,0.00492498883480474,0.6711798144086101,0.004942497435643499,0.6141445657826312,0.010447436610953943
adult,Oracle,0.5031564559046512,0.002728425331647323,0.5033159064149618,0.0017570377460369793,-0.00015945051031072133,0.0038348316117143367,0.0007097099557427766,0.003257237970663067,0.7084533681742128,0.004760387871126602,0.654238169526781,0.0017863301130855644
default,FF,0.999742,5.516333770864217e-05,0.5088118777777778,0.006415630377046092,0.4909301222222222,0.006362159633065266,0.00046166666666669354,0.0001362051375910617,0.08656891524407734,0.039619067209764484,0.05727136431784108,0.03145568775821925
default,TabDiff,0.5955810555555556,0.005467877639275282,0.5406134777777778,0.009753760774743561,0.05496757777777776,0.010789578561933558,0.015551711111111111,0.003666520950050587,0.43970232087227296,0.023474791836228873,0.3502248875562219,0.021112298771292108
default,Oracle,0.5056398555555556,0.004171473707564417,0.5182399222222223,0.012262829011682115,-0.012600066666666642,0.01201739191487915,0.0029586111111111315,0.004304312527018395,0.46680883729236733,0.017961002326238294,0.37301349325337335,0.011918804746237983
