dataset,full_c2st_mean,full_c2st_std,dep_numinv_mean,dep_numinv_std,dep_catinv_mean,dep_catinv_std,dep_cross_mean,dep_cross_std
adult,0.6069900799129785,0.002252379270563306,0.04707894992692163,0.003233346316331158,0.04024370364734144,0.001087227627786556,0.03671626406485169,0.002545148141170362
default,0.6227482111111111,0.0074055715072763205,0.0825563444444444,0.006103115377603959,0.02035243333333332,0.007418840860926485,0.013486733333333344,0.0045412615095190316
shoppers,0.5706638671989339,0.01046555291571223,0.01896086862432078,0.015680381845332658,0.013199069387465179,0.007789817476835115,0.003940961225135519,0.009343589983397134
