dataset,variant,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
bank,FF,0,0.9563964741836118,0.5080668082778166,0.44832966590579526,0.07264303798755933,0.01694915254237288,0.008880994671403197
bank,TabbyFlow,0,0.5627671224918189,0.5316018048086109,0.03116531768320807,0.021168928708847012,0.5322245322245323,0.4547069271758437
bank,Oracle,0,0.5014284433017138,0.5125324449479971,-0.011104001646283335,-0.006760012135862858,0.5134264232008593,0.42451154529307283
bank,FF,1,0.9584685104284505,0.5126053109854012,0.4458631994430493,0.07907194978366139,0.00686106346483705,0.003552397868561279
bank,TabbyFlow,1,0.5528596643154573,0.5294067032059687,0.02345296110948858,0.030357580542401008,0.4925053533190578,0.40852575488454707
bank,Oracle,1,0.5032461330629694,0.5079236436305009,-0.004677510567531518,-0.003366948865255681,0.5505735140771637,0.4689165186500888
bank,FF,2,0.9539410598849283,0.5045121926887098,0.44942886719621844,0.07306749488128306,0.01652892561983471,0.008880994671403197
bank,TabbyFlow,2,0.5626005575767867,0.509409964083401,0.05319059349338573,0.035881217404674204,0.4973319103521878,0.413854351687389
bank,Oracle,2,0.5043238413175275,0.5037172193302937,0.0006066219872338241,0.001175661726316668,0.5217391304347826,0.44760213143872113
bank,FF,3,0.9573048055787412,0.5039741087896785,0.4533306967890627,0.07642021286272382,0.020066889632107024,0.010657193605683837
bank,TabbyFlow,3,0.5571145763177359,0.5293091165095662,0.02780545980816962,0.037809330999794444,0.5300713557594292,0.46181172291296624
bank,Oracle,3,0.5104349789451383,0.5054291555305518,0.005005823414586552,-0.0016315390422096954,0.5500505561172901,0.48312611012433393
bank,FF,4,0.9538092897253412,0.5191546718084334,0.43465461791690774,0.06573237898711726,0.02037351443123939,0.010657193605683837
bank,TabbyFlow,4,0.5750157077659156,0.5219021126456123,0.053113595120303336,0.032102942203441565,0.5160642570281124,0.4564831261101243
bank,Oracle,4,0.5002438567083995,0.5016373585445258,-0.0013935018361262985,-0.011193421478090992,0.5267406659939455,0.4635879218472469
