dataset,capacity,params,seed,final_train_loss,full,marg,dep,dep_cross,mle_f1,mle_recall
bank,1x,10.6M,0,13.0,0.5627671224918189,0.5316018048086109,0.03116531768320807,0.021168928708847012,0.5322245322245323,0.4547069271758437
bank,1x,10.6M,1,13.0,0.5528596643154573,0.5294067032059687,0.02345296110948858,0.030357580542401008,0.4925053533190578,0.40852575488454707
bank,1x,10.6M,2,13.0,0.5626005575767867,0.509409964083401,0.05319059349338573,0.035881217404674204,0.4973319103521878,0.413854351687389
bank,2x,42M,0,12.9,0.5664861267955121,0.5190932247104479,0.04739290208506419,0.02026411835713593,0.5084745762711864,0.45293072824156305
bank,2x,42M,1,12.9,0.5666340350707662,0.5244544534450574,0.042179581625708784,0.024317695140627538,0.5225225225225225,0.4635879218472469
bank,2x,42M,2,13.0,0.5544063315402745,0.5189025015252964,0.035503830014978144,0.026873728145323517,0.5096056622851365,0.44760213143872113
bank,4x,168M,0,12.9,0.5649320751601927,0.5287540142340137,0.036178060926179034,0.02096996530402928,0.5227043390514632,0.46003552397868563
bank,4x,168M,1,12.9,0.5620035451038815,0.51713559792501,0.04486794717887155,0.02235446891808701,0.5090180360721442,0.4511545293072824
bank,4x,168M,2,13.0,0.5591381982155743,0.5099261392678304,0.04921205894774394,0.03399987989329678,0.5206611570247934,0.44760213143872113
