metric,n,mean_delta,std_delta,n_down,n_up
dep_cross,5,0.002873155555555518,0.009112374399835558,1,4
mle_f1,5,0.004564411123151324,0.012487653152805103,2,3
mle_recall,5,0.0035982008995502192,0.01063305740719468,1,4
full,5,0.0026833666666666424,0.007279637125885321,2,3
dep,5,-0.0028478666666666764,0.014852984568599714,3,2
