dataset,capacity,params,full_mean,full_std,full_count,marg_mean,marg_std,marg_count,dep_mean,dep_std,dep_count,dep_cross_mean,dep_cross_std,dep_cross_count
adult,1x,10.6M,0.606545780773021,0.008399542621708847,3,0.5569258213338075,0.006154892183490046,3,0.049619959439213455,0.00732396040454206,3,0.0336242251246324,0.0021574562626339266,3
adult,2x,42M,0.6064690340284641,0.005669687728819785,3,0.5549543756574175,0.004824584506510927,3,0.05151465837104655,0.003983057023715809,3,0.0343703712355475,0.0017517109575507577,3
adult,4x,168M,0.6074472953426736,0.005518342728964187,3,0.5529962018988065,0.004758297236523574,3,0.05445109344386719,0.002739249098945413,3,0.03441715744939714,0.006020941958649174,3
default,1x,10.6M,0.6105790555555556,0.007902933917418633,3,0.5357221296296296,0.007138559830361125,3,0.07485692592592597,0.01172630702688113,3,0.00923174074074081,0.005829146038227153,3
default,2x,42M,0.6050492777777778,0.008782058691509114,3,0.545543074074074,0.01138055348036945,3,0.05950620370370374,0.01564160740742673,3,0.00822322222222227,0.004095936926838847,3
default,4x,168M,0.6043220925925926,0.005454555066761891,3,0.5454806666666667,0.018539587286731742,3,0.05884142592592597,0.01981724073182871,3,0.012407333333333362,0.004008335607530022,3
