dataset,label,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,nfe_mean,nfe_std,time_s_mean,time_s_std
adult,dopri5_default,0.6070048838733413,0.0073596638392984725,0.5571287678698233,0.004368966542867645,0.049876116003518024,0.006911573519626763,0.033833705005506066,0.0026441875276912315,0.6630205514852884,0.006050546421890572,0.6157046281851274,0.004119339448194206,674.0,65.72670690061993,22.522886419296263,4.314643713700833
adult,euler10,0.667645092968143,0.004330178243249539,0.6202029131361545,0.0034716570724909186,0.047442179831988486,0.0062600663344732875,0.04020899558288471,0.004520107079896584,0.6571082044649377,0.004198858396974343,0.5921996879875195,0.0058850871433344075,40.0,0.0,1.3368056774139405,0.29978964056689145
adult,euler20,0.6247320078942937,0.004012869154682414,0.5746975486311381,0.002010203011895132,0.0500344592631556,0.0037783843072502154,0.037350409349442115,0.0038648342449789843,0.6672281534114617,0.0028439924524708547,0.6077483099323973,0.004022185253323358,80.0,0.0,2.7687571048736572,0.5667428310238601
adult,euler200,0.6070921623889235,0.005482692632162663,0.5557786105434612,0.003784167499718728,0.05131355184546223,0.0037330011741292276,0.03450323138187894,0.0029271566220014067,0.6665311156248646,0.0085330021560276,0.6139365574622986,0.007102616116033601,800.0,0.0,27.419672679901122,3.6500534490971233
adult,euler50,0.6109302950012695,0.0072408028477364056,0.5596348620775551,0.003447078231501893,0.05129543292371434,0.0043418088311749075,0.035958492262002206,0.004370598163273049,0.6649329379296123,0.009144437140380633,0.6118044721788871,0.005131501392613264,200.0,0.0,7.153075790405273,1.5758989486337125
adult,euler500,0.6073978775064689,0.007611861529251658,0.5561530857391805,0.004076049470489287,0.051244791767288335,0.00722259950518563,0.034016874447442814,0.0028074143404812116,0.6637937595883592,0.009768584011697135,0.6129485179407176,0.006736728479628324,2000.0,0.0,68.14659090042115,7.8275756372997645
default,dopri5_default,0.6133488,0.00749639387777076,0.5365564777777777,0.012208516358481435,0.07679232222222225,0.011690975525320413,0.009569588888888925,0.004947069933959033,0.4523397327031276,0.006808179219265551,0.3760119940029985,0.008638596876094737,446.4,13.813037319865611,23.056768083572386,1.0041464227389931
default,euler10,0.6900977111111111,0.00627386466272363,0.7293624444444444,0.007330768909677798,-0.039264733333333315,0.004897233807794971,0.007984133333333365,0.0032495194772022046,0.43713595190640503,0.005889020899265028,0.3466266866566717,0.01148664546289532,30.0,0.0,1.4774731159210206,0.046641038700522025
default,euler20,0.6447839666666667,0.011549161571607668,0.6223496333333334,0.0123659218789401,0.022434333333333334,0.005064952478510313,0.011103755555555494,0.0023948834299190925,0.43661854925809573,0.024782658492382443,0.3523238380809596,0.022034390489803695,60.0,0.0,3.1357280731201174,0.24205289977476205
default,euler200,0.6156799000000001,0.007219973843977219,0.5443698777777778,0.014406310836587246,0.07131002222222224,0.011234762538532906,0.006750300000000054,0.004189539799965333,0.4447895871657364,0.01961440603482013,0.3652173913043478,0.020490973988929382,600.0,0.0,29.78829731941223,0.6468184811833392
default,euler50,0.6235821333333333,0.00940595698367282,0.5633365,0.008895113410195948,0.060245633333333326,0.005293340423192372,0.007937266666666698,0.0059981733385061076,0.44449182112002034,0.009450506130536713,0.36371814092953525,0.012253563263389819,150.0,0.0,7.686878871917725,0.35078153029014963
default,euler500,0.6151738777777778,0.006131611114685029,0.5398903888888889,0.012290782041487789,0.07528348888888892,0.0069736545086392125,0.010143911111111126,0.006354294210328959,0.4446409366832872,0.020233545177848283,0.36911544227886056,0.016161334906401027,1500.0,0.0,73.90863628387451,0.5943237454115898
