dataset,variant,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
magic,FF,0,0.9946125944133188,0.5131341075474264,0.48147848686589245,-6.150479709776668e-05,0.2702188392007612,0.21005917159763313
magic,TabbyFlow,0,0.5544343714790232,0.512880348429513,0.04155402304951017,0.00420001747012666,0.8294209702660407,0.7840236686390533
magic,Oracle,0,0.500374557303674,0.5243722087879159,-0.023997651484241933,-0.007563846125778206,0.8352668213457076,0.7988165680473372
magic,FF,1,0.9950562582305856,0.5120073949498065,0.4830488632807791,0.0012208356691333355,0.17956064947468958,0.1390532544378698
magic,TabbyFlow,1,0.5562399864661804,0.5151578226914831,0.04108216377469731,0.0004970140457607464,0.821875,0.7781065088757396
magic,Oracle,1,0.5125858164685797,0.5148236235917474,-0.002237807123167679,0.010336675877182788,0.846692607003891,0.8047337278106509
magic,FF,2,0.9949541188034954,0.509290956113494,0.4856631626900014,0.0006023323724763108,0.22334004024144868,0.16420118343195267
magic,TabbyFlow,2,0.5557062077551882,0.5353640144139602,0.020342193341228,-0.006778796131362119,0.8300704776820673,0.7840236686390533
magic,Oracle,2,0.5148708924470451,0.5128330795742153,0.0020378128728297806,0.0005918281824102145,0.8294930875576036,0.7988165680473372
magic,FF,3,0.9949911598947812,0.5287067075334946,0.46628445236128657,0.0007673587269363402,0.2623294858342078,0.1849112426035503
magic,TabbyFlow,3,0.5510550629643267,0.5440780693519799,0.006976993612346827,-0.008127617063669712,0.828393135725429,0.7855029585798816
magic,Oracle,3,0.5051648826129118,0.5268918322735159,-0.021726949660604067,-0.0008178064818591402,0.8272656855151046,0.7899408284023669
magic,FF,4,0.9953319932198217,0.5147553463563176,0.4805766468635041,0.0010697688304192043,0.2731614135625597,0.21153846153846154
magic,TabbyFlow,4,0.5393532570176282,0.5241192789481657,0.015233978069462473,-0.009537942793075294,0.8165771297006907,0.7869822485207101
magic,Oracle,4,0.5055828388071221,0.5263981353404076,-0.02081529653328551,0.0005424861317048224,0.8416220351951033,0.8136094674556213
