dataset,capacity,params,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
bank,2x,42M,3,0.5551875630486837,0.5174914922788408,0.03769607076984283,0.03625664865913769,0.5194029850746269,0.4635879218472469
bank,2x,42M,4,0.5645179613315099,0.5237446942276992,0.040773267103810684,0.033182337624637515,0.5454545454545454,0.49023090586145646
bank,4x,168M,0,0.5649320751601927,0.5287540142340137,0.036178060926179034,0.02096996530402928,0.5227043390514632,0.46003552397868563
bank,4x,168M,1,0.5620035451038815,0.51713559792501,0.04486794717887155,0.02235446891808701,0.5090180360721442,0.4511545293072824
bank,4x,168M,2,0.5591381982155743,0.5099261392678304,0.04921205894774394,0.03399987989329678,0.5206611570247934,0.44760213143872113
bank,4x,168M,3,0.5556501645794377,0.5126034526569305,0.0430467119225072,0.030721030468566668,0.5530227948463825,0.4955595026642984
bank,4x,168M,4,0.5711954734639497,0.5315036557233289,0.039691817740620805,0.024694373431301875,0.5383104125736738,0.4866785079928952
default,1x,10.6M,0,0.6152687777777778,0.5279096111111111,0.08735916666666665,0.01574533333333339,0.4538878842676311,0.37631184407796103
default,1x,10.6M,1,0.6014547222222223,0.5373518888888889,0.06410283333333344,0.004505666666666741,0.46126447016918964,0.38830584707646176
default,1x,10.6M,2,0.6150136666666667,0.5419048888888889,0.0731087777777778,0.0074442222222222965,0.4528301886792453,0.3778110944527736
default,1x,10.6M,3,0.6129026111111111,0.5221706666666667,0.09073194444444443,0.006263222222222198,0.4514959202175884,0.3733133433283358
default,1x,10.6M,4,0.6221042222222223,0.5534453333333333,0.06865888888888894,0.013889499999999999,0.4422202001819836,0.36431784107946025
default,2x,42M,0,0.6112309444444445,0.5337924444444444,0.07743850000000008,0.006857888888888941,0.46098003629764067,0.3808095952023988
default,2x,42M,1,0.5949967777777778,0.5463233888888889,0.04867338888888895,0.004984333333333368,0.44021739130434784,0.36431784107946025
default,2x,42M,2,0.6089201111111111,0.5565133888888889,0.0524067222222222,0.012827444444444502,0.445859872611465,0.36731634182908546
default,2x,42M,3,0.6040275555555555,0.5425682777777778,0.06145927777777771,0.006879555555555528,0.44321329639889195,0.3598200899550225
default,2x,42M,4,0.6242467777777778,0.5601467777777778,0.06410000000000005,0.021956611111111135,0.45041705282669137,0.36431784107946025
default,4x,168M,0,0.610597888888889,0.541647,0.068950888888889,0.01698327777777786,0.4424131627056673,0.36281859070464767
default,4x,168M,1,0.6007227222222222,0.5291576111111111,0.07156511111111108,0.009517444444444356,0.466786355475763,0.38980509745127434
default,4x,168M,2,0.6016456666666667,0.5656373888888889,0.03600827777777782,0.010721277777777871,0.4501372369624886,0.36881559220389803
magic,1x,10.6M,0,0.5544343714790232,0.512880348429513,0.04155402304951017,0.00420001747012666,0.8294209702660407,0.7840236686390533
magic,1x,10.6M,1,0.5562399864661804,0.5151578226914831,0.04108216377469731,0.0004970140457607464,0.821875,0.7781065088757396
magic,1x,10.6M,2,0.5557062077551882,0.5353640144139602,0.020342193341228,-0.006778796131362119,0.8300704776820673,0.7840236686390533
magic,1x,10.6M,3,0.5510550629643267,0.5440780693519799,0.006976993612346827,-0.008127617063669712,0.828393135725429,0.7855029585798816
magic,1x,10.6M,4,0.5393532570176282,0.5241192789481657,0.015233978069462473,-0.009537942793075294,0.8165771297006907,0.7869822485207101
magic,2x,42M,0,0.5438931403216052,0.5096127160407827,0.03428042428082245,-0.0069121717025963925,0.8164213787761425,0.7795857988165681
magic,2x,42M,1,0.5376344398115438,0.5198858139254601,0.017748625886083724,0.001020703205768303,0.8175298804780876,0.7588757396449705
magic,2x,42M,2,0.5489564363595352,0.5295806285043914,0.019375807855143812,-0.0018924127682300451,0.8221528861154446,0.7795857988165681
magic,2x,42M,3,0.5437137398123177,0.5460299137218999,-0.0023161739095821643,-0.001600783280867768,0.8250773993808049,0.7884615384615384
magic,2x,42M,4,0.5399134344168128,0.5280917977755443,0.011821636641268563,0.007287972923515129,0.8171206225680934,0.7766272189349113
magic,4x,168M,0,0.5427158417560352,0.5186653928954081,0.024050448860627016,-0.003931331345277123,0.8296067848882035,0.7958579881656804
magic,4x,168M,1,0.5318961113488375,0.5201992810711178,0.011696830277719727,0.0017839155418889474,0.8354037267080745,0.7958579881656804
magic,4x,168M,2,0.5474828090636785,0.5329093510511378,0.01457345801254073,-0.001523383985643667,0.823076923076923,0.7914201183431953
magic,4x,168M,3,0.5389611466595018,0.5282935887952358,0.010667557864265986,-0.005689539264109533,0.8363914373088684,0.8091715976331361
magic,4x,168M,4,0.5348613336340848,0.519395986957113,0.015465346676971858,-0.0033415763582748115,0.8189457601222307,0.7928994082840237
